precision,seq,conc,tp,ep,dp_attention,gpus,old_date,new_date,old_tput_per_gpu,new_tput_per_gpu,gain_x,improvement_pct,old_run_url,new_run_url,note
int4,8192/1024,16,8,1,False,8,2026-02-18,2026-03-27,157.19541980732237,631.0259966432371,4.014277244316015,301.4277244316015,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22129277189/attempts/3,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23669977901/attempts/6,exact_3.5_to_4.5_target
int4,8192/1024,16,8,1,False,8,2026-02-18,2026-03-27,157.19541980732237,625.0246375397504,3.9760995473395844,297.60995473395843,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22129277189/attempts/3,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23626527425/attempts/1,exact_3.5_to_4.5_target
int4,1024/8192,16,8,1,False,8,2026-02-18,2026-03-27,22.8898778418219,95.37682042197883,4.166768432801186,316.67684328011865,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22129277189/attempts/3,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23626527425/attempts/1,exact_3.5_to_4.5_target
int4,1024/8192,16,8,1,False,8,2026-02-18,2026-03-27,22.8898778418219,95.64502962392541,4.178485804287395,317.8485804287395,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22129277189/attempts/3,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23669977901/attempts/6,exact_3.5_to_4.5_target
int4,8192/1024,8,8,1,False,8,2026-02-18,2026-03-27,104.08359652898746,396.78663261992523,3.8121917944046015,281.21917944046015,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22129277189/attempts/3,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23669977901/attempts/6,exact_3.5_to_4.5_target
int4,8192/1024,8,8,1,False,8,2026-02-18,2026-03-27,104.08359652898746,393.8445158771832,3.7839249316053065,278.39249316053065,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22129277189/attempts/3,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23626527425/attempts/1,exact_3.5_to_4.5_target
int4,8192/1024,64,8,1,False,8,2026-02-18,2026-03-27,328.5044184507067,1228.6451311563017,3.7401175209479396,274.01175209479396,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22129277189/attempts/3,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23669977901/attempts/6,exact_3.5_to_4.5_target
int4,1024/1024,64,8,1,False,8,2026-02-18,2026-03-27,93.01552422446069,396.3098792332709,4.260685326859144,326.06853268591436,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22129277189/attempts/3,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23626527425/attempts/1,exact_3.5_to_4.5_target
int4,1024/1024,64,8,1,False,8,2026-02-18,2026-03-27,93.01552422446069,396.3821546613729,4.261462352293388,326.1462352293388,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22129277189/attempts/3,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23669977901/attempts/6,exact_3.5_to_4.5_target
int4,8192/1024,64,8,1,False,8,2026-02-18,2026-03-27,328.5044184507067,1223.0261722372347,3.7230128532373286,272.3012853237328,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/22129277189/attempts/3,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/23626527425/attempts/1,exact_3.5_to_4.5_target
